Policy_id,Country_id,Policy_type,Policy_subtype,Policy_start_date,Air_ban,Air_ban_type,Air_ban_info,Land_ban,Land_ban_type,Land_ban_info,Sea_ban,Sea_ban_type,Sea_ban_info
137672,HRV,PARTIAL,BORDER_CLOSURE,2020-09-15,0,no policy,no policy,1,All,no policy,0,no policy,no policy
1786,IND,PARTIAL,BORDER_CLOSURE,2020-03-22,1,All,no policy,0,no policy,no policy,0,no policy,no policy
CK8,IOT,PARTIAL,BORDER_CLOSURE,2020-04-24,0,no policy,no policy,0,no policy,no policy,1,All,no policy
547,IRN,PARTIAL,BORDER_CLOSURE,2020-03-16,1,Specific," Iran, China, Hong Kong, Macau, Taiwan",0,no policy,no policy,0,no policy,no policy
138287,IRQ,PARTIAL,BORDER_CLOSURE,2020-10-27,1,Specific,"Kuwait, Bahrain ",0,no policy,no policy,0,no policy,no policy
119157,ISR,PARTIAL,BORDER_CLOSURE,2020-09-25,1,All,no policy,0,no policy,no policy,0,no policy,no policy
EB88,JAM,PARTIAL,BORDER_CLOSURE,2020-12-21,1,Specific,United Kingdom,0,no policy,no policy,0,no policy,no policy
140481,JOR,PARTIAL,BORDER_CLOSURE,2020-08-11,0,no policy,no policy,1,Specific,"The border crossings of King Hussein Bridge, Sheikh Hussein Bridge, and Al-Mudawara will operate at limited capacity and will bar those who do not have Jordanian, Palestinian, or Saudi nationality",0,no policy,no policy
117830,KEN,PARTIAL,BORDER_CLOSURE,2020-08-01,0,no policy,no policy,1,All,no policy,1,All,no policy
118815,KHM,PARTIAL,BORDER_CLOSURE,2020-08-24,0,no policy,no policy,1,Specific,"Thailand, Laos",0,no policy,no policy
117986,KNA,PARTIAL,BORDER_CLOSURE,2020-08-29,1,Specific,"except with the prior written permission of the Air Ports Authorities, in consultation with the Chief Medical Officer;",1,All,no policy,1,Specific,"except with the prior written permission of the Ports Authorities, in consultation with the Chief Medical Officer;"
BW6,KOR,PARTIAL,BORDER_CLOSURE,2020-04-17,1,Specific,ONLY Incheon International Airport (ICN) open,0,no policy,no policy,0,no policy,no policy
142374,KWT,PARTIAL,BORDER_CLOSURE,2020-12-01,0,no policy,no policy,1,Specific,Iran,0,no policy,no policy
142607,LBN,PARTIAL,BORDER_CLOSURE,2020-11-14,0,no policy,no policy,1,All,no policy,1,All,no policy
8174,LBR,PARTIAL,BORDER_CLOSURE,2020-04-29,0,no policy,no policy,1,All,no policy,0,no policy,no policy
15927,LBY,PARTIAL,BORDER_CLOSURE,2020-07-19,1,Specific,"The Tripoli-based Government of National Accord (GNA) extended a ban on civil aviation for a further 15 days as of Sunday, July 19. **The ban excludes official visits, medevac and cargo flights, return flights for Libyans abroad, and departure flights for both Libyans and foreigners.",0,no policy,no policy,0,no policy,no policy
EB93,LKA,PARTIAL,BORDER_CLOSURE,2020-12-23,1,Specific,United Kingdom,0,no policy,no policy,0,no policy,no policy
138794,LUX,PARTIAL,BORDER_CLOSURE,2020-08-14,0,no policy,no policy,1,Specific,Morocco,0,no policy,no policy
SN52,LVA,PARTIAL,BORDER_CLOSURE,2020-12-04,1,Specific,"Afghanistan, Aland Islands, Albania, Algeria, American Samoa, Andorra, Angola, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belize, Benin, Bermuda, Bhutan, Bolivia, Bonaire, Sint Eustatius and Saba, Bosnia and Herzegovina, Botswana, Bouvet Island, Brazil, British Indian Ocean Territory, Brunei Darussalam, Burkina Faso, Burundi, Cape Verde, Cambodia, Cameroon, Cayman Islands, Central African Republic, Chad, Chile, China, Christmas Island, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Democratic Republic of the Congo, Cook Islands, Costa Rica, Côte d'Ivoire, Cuba, Curaçao, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, Falkland Islands (Malvinas), Faroe Islands, Fiji, French Guiana, French Polynesia, French Southern Territories, Gabon, Gambia, Georgia, Ghana, Gibraltar, Greenland, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guinea-Bissau, Guyana, Haiti, Heard Island and McDonald Islands, Honduras, Hong Kong, India, Indonesia, Iran, Iraq, Isle of Man, Israel, Jamaica, Jersey, Jordan, Kazakhstan, Kenya, Kiribati, North Korea, Kuwait, Kyrgyzstan, Kosovo, Lao People's Democratic Republic, Lebanon, Lesotho, Liberia, Libya, Macao, North Macedonia, Madagascar, Malawi, Malaysia, Maldives, Mali, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Micronesia, Federated States of, Republic of Moldova, Mongolia, Montenegro, Montserrat, Morocco, Mozambique, Myanmar, Namibia, Nauru, Nepal, New Caledonia, Nicaragua, Niger, Nigeria, Niue, Norfolk Island, Northern Mariana Islands, Oman, Pakistan, Palau, Palestine, State of, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Pitcairn, Puerto Rico, Qatar, Réunion, Russian Federation, Saint Barthélemy, Saint Helena, Ascension and Tristan da Cunha, Saint Kitts and Nevis, Saint Lucia, Saint Martin (French part), Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Sint Maarten (Dutch part), Solomon Islands, Somalia, Somaliland, South Africa, South Georgia and the South Sandwich Islands, South Sudan, Sri Lanka, Sudan, Suriname, Svalbard and Jan Mayen, Syrian Arab Republic, Taiwan, Tajikistan, United Republic of Tanzania, Timor-Leste (East Timor), Togo, Tokelau, Tonga, Trinidad and Tobago, Turkey, Turkmenistan, Turks and Caicos Islands, Tuvalu, Uganda, Ukraine, United Arab Emirates, United States Minor Outlying Islands, United States of America, Uzbekistan, Vanuatu, Venezuela, Vietnam, Virgin Islands, British, Virgin Islands, U.S., Wallis and Futuna, Western Sahara, Yemen, Zambia, Zimbabwe, Luxembourg, Croatia, San Marino, Lithuania",0,no policy,no policy,0,no policy,no policy
15811,MDG,PARTIAL,BORDER_CLOSURE,2020-07-06,0,no policy,no policy,0,no policy,no policy,1,Specific,cruise ships
14148,MEX,PARTIAL,BORDER_CLOSURE,2020-03-21,0,no policy,no policy,1,Specific,United States of America,0,no policy,no policy
4294,MLI,PARTIAL,BORDER_CLOSURE,2020-03-25,0,no policy,no policy,1,Specific,All land borders are closed to passenger vehicle traffic while allowing cargo and freight.,0,no policy,no policy
18046,MMR,PARTIAL,BORDER_CLOSURE,2020-07-30,1,All,no policy,0,no policy,no policy,0,no policy,no policy
MS78,MNP,PARTIAL,BORDER_CLOSURE,2020-04-06,1,All,no policy,0,no policy,no policy,0,no policy,no policy
SN68,MOZ,PARTIAL,BORDER_CLOSURE,2020-10-01,1,Specific,"Afghanistan, Aland Islands, Albania, Algeria, American Samoa, Andorra, Angola, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bermuda, Bhutan, Bolivia, Bonaire, Sint Eustatius and Saba, Bosnia and Herzegovina, Botswana, Bouvet Island, Brazil, British Indian Ocean Territory, Brunei Darussalam, Bulgaria, Burkina Faso, Burundi, Cape Verde, Cambodia, Cameroon, Canada, Cayman Islands, Central African Republic, Chad, Chile, China, Christmas Island, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Democratic Republic of the Congo, Cook Islands, Costa Rica, Côte d'Ivoire, Croatia, Cuba, Curaçao, Cyprus, Czech Republic, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Eswatini, Falkland Islands (Malvinas), Faroe Islands, Fiji, Finland, France, French Guiana, French Polynesia, French Southern Territories, Gabon, Gambia, Georgia, Germany, Ghana, Gibraltar, Greece, Greenland, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guinea-Bissau, Guyana, Haiti, Heard Island and McDonald Islands, Holy See (Vatican City State), Honduras, Hong Kong, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Isle of Man, Israel, Italy, Jamaica, Japan, Jersey, Jordan, Kazakhstan, Kiribati, North Korea, South Korea, Kuwait, Kyrgyzstan, Kosovo, Lao People's Democratic Republic, Latvia, Lebanon, Lesotho, Liberia, Libya, Liechtenstein, Lithuania, Luxembourg, Macao, North Macedonia, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Micronesia, Federated States of, Republic of Moldova, Monaco, Mongolia, Montenegro, Montserrat, Morocco, Myanmar, Namibia, Nauru, Nepal, Netherlands, New Caledonia, New Zealand, Nicaragua, Niger, Nigeria, Niue, Norfolk Island, Northern Mariana Islands, Norway, Oman, Pakistan, Palau, Palestine, State of, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Pitcairn, Poland, Puerto Rico, Réunion, Romania, Russian Federation, Rwanda, Saint Barthélemy, Saint Helena, Ascension and Tristan da Cunha, Saint Kitts and Nevis, Saint Lucia, Saint Martin (French part), Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Samoa, San Marino, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Sint Maarten (Dutch part), Slovakia, Slovenia, Solomon Islands, Somalia, Somaliland, South Georgia and the South Sandwich Islands, South Sudan, Spain, Sri Lanka, Sudan, Suriname, Svalbard and Jan Mayen, Sweden, Switzerland, Syrian Arab Republic, Taiwan, Tajikistan, United Republic of Tanzania, Thailand, Timor-Leste (East Timor), Togo, Tokelau, Tonga, Trinidad and Tobago, Tunisia, Turkmenistan, Turks and Caicos Islands, Tuvalu, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States Minor Outlying Islands, United States of America, Uruguay, Uzbekistan, Vanuatu, Venezuela, Vietnam, Virgin Islands, British, Virgin Islands, U.S., Wallis and Futuna, Western Sahara, Yemen, Zambia, Zimbabwe",1,Specific,"Tanzania, Malawi, Zambia, Zimbabwe, Eswatini",1,All,no policy
NL17,MWI,PARTIAL,BORDER_CLOSURE,2020-09-01,0,no policy,no policy,1,All,no policy,0,no policy,no policy
MS86,MYT,PARTIAL,BORDER_CLOSURE,2020-03-20,1,All,no policy,0,no policy,no policy,0,no policy,no policy
1967,NER,PARTIAL,BORDER_CLOSURE,2020-03-20,1,All,no policy,0,no policy,no policy,0,no policy,no policy
WY3,NIU,PARTIAL,BORDER_CLOSURE,2020-03-20,1,Specific,"Passengers who have been in Australia, Austria, Belgium, Bulgaria, China (People's Rep.), Chinese Taipei, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hong Kong (SAR China), Hungary, Iceland, Ireland (Rep.), Indonesia, Iran, Italy, Japan, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Macao (SAR China), Netherlands, Norway, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, Thailand, USA or United Kingdom in the past 14 days",1,Specific,"Passengers who have been in Australia, Austria, Belgium, Bulgaria, China (People's Rep.), Chinese Taipei, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hong Kong (SAR China), Hungary, Iceland, Ireland (Rep.), Indonesia, Iran, Italy, Japan, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Macao (SAR China), Netherlands, Norway, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, Thailand, USA or United Kingdom in the past 14 days",1,Specific,"Passengers who have been in Australia, Austria, Belgium, Bulgaria, China (People's Rep.), Chinese Taipei, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hong Kong (SAR China), Hungary, Iceland, Ireland (Rep.), Indonesia, Iran, Italy, Japan, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Macao (SAR China), Netherlands, Norway, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, Thailand, USA or United Kingdom in the past 14 days"
140738,OMN,PARTIAL,BORDER_CLOSURE,2020-11-12,0,no policy,no policy,1,Specific,Citizens and residents now allowed to travel across Omani borders,0,no policy,no policy
BW28,PER,PARTIAL,BORDER_CLOSURE,2020-11-01,1,Specific,"All countries banned, except Ecuador, Bolivia, Colombia, Chile, Panama, Uruguay, Paraguay, United States, Mexico, Brazil, Argentina, Costa Rica, Cuba, Dominican Republic, El Salvador, Jamaica, Canada",0,no policy,no policy,0,no policy,no policy
16307,PHL,PARTIAL,BORDER_CLOSURE,2020-07-23,1,All,no policy,0,no policy,no policy,0,no policy,no policy
BW18,PLW,PARTIAL,BORDER_CLOSURE,2020-03-22,1,All,no policy,0,no policy,no policy,0,no policy,no policy
WY4,PNG,PARTIAL,BORDER_CLOSURE,2020-10-03,1,All,"Australia, Singapore, Hong Kong, Japan, Solomon Islands",1,All,no policy,1,Specific,"Motukea Port, Port Moresby, Port of Rabaul, Port of Morobe, Port of Madang. These ports are open, document does not specify which countries are able to enter."
MG9,POL,PARTIAL,BORDER_CLOSURE,2020-10-28,1,Specific,"Belize, Bosnia and Herzegovina, Montenegro, Nepal, Georgia, Jordan, Bahrain, Morocco, Israel, Qatar, Kuwait, Libya, United Arab Emirates, Albania, Argentina, Chile, Honduras, Iraq, Colombia, Costa Rica, Lebanon, North Macedonia, Maldives, Panama, Paraguay, Peru, Tunisia, Cape Verde, United States of America, Oman, Bahamas",0,no policy,no policy,0,no policy,no policy
SN21,PRT,PARTIAL,BORDER_CLOSURE,2020-11-01,1,Specific,"Afghanistan, Aland Islands, Albania, Algeria, American Samoa, Andorra, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belize, Benin, Bermuda, Bhutan, Bolivia, Bonaire, Sint Eustatius and Saba, Bosnia and Herzegovina, Botswana, Bouvet Island, British Indian Ocean Territory, Brunei Darussalam, Burkina Faso, Burundi, Cambodia, Cameroon, Canada, Cayman Islands, Central African Republic, Chad, Chile, Christmas Island, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Democratic Republic of the Congo, Cook Islands, Costa Rica, Côte d'Ivoire, Cuba, Curaçao, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, Falkland Islands (Malvinas), Faroe Islands, Fiji, French Guiana, French Polynesia, French Southern Territories, Gabon, Gambia, Georgia, Ghana, Gibraltar, Greenland, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guyana, Haiti, Heard Island and McDonald Islands, Holy See (Vatican City State), Honduras, India, Indonesia, Iran, Iraq, Isle of Man, Israel, Jamaica, Jersey, Jordan, Kazakhstan, Kenya, Kiribati, North Korea, Kuwait, Kyrgyzstan, Kosovo, Lao People's Democratic Republic, Lebanon, Lesotho, Liberia, Libya, North Macedonia, Madagascar, Malawi, Malaysia, Maldives, Mali, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Micronesia, Federated States of, Republic of Moldova, Monaco, Mongolia, Montenegro, Montserrat, Morocco, Myanmar, Namibia, Nauru, Nepal, New Caledonia, Nicaragua, Niger, Nigeria, Niue, Norfolk Island, Northern Mariana Islands, Oman, Pakistan, Palau, Palestine, State of, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Pitcairn, Puerto Rico, Qatar, Réunion, Russian Federation, Saint Barthélemy, Saint Helena, Ascension and Tristan da Cunha, Saint Kitts and Nevis, Saint Lucia, Saint Martin (French part), Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Samoa, San Marino, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Sint Maarten (Dutch part), Solomon Islands, Somalia, Somaliland, South Georgia and the South Sandwich Islands, South Sudan,  Sri Lanka, Sudan, Suriname, Svalbard and Jan Mayen, Syrian Arab Republic, Taiwan, Tajikistan, United Republic of Tanzania, Timor-Leste (East Timor), Togo, Tokelau, Tonga, Trinidad and Tobago, Turkey, Turkmenistan, Turks and Caicos Islands, Tuvalu, Uganda, Ukraine, United Arab Emirates, United States Minor Outlying Islands, United States of America, Uzbekistan, Vanuatu, Venezuela, Vietnam, Virgin Islands, British, Virgin Islands, U.S., Wallis and Futuna, Western Sahara, Yemen, Zambia, Zimbabwe",0,no policy,no policy,0,no policy,no policy
16338,PRY,PARTIAL,BORDER_CLOSURE,2020-08-05,1,All,no policy,0,no policy,no policy,0,no policy,no policy
119159,PSE,PARTIAL,BORDER_CLOSURE,2020-09-25,1,All,no policy,0,no policy,no policy,0,no policy,no policy
10127,QAT,PARTIAL,BORDER_CLOSURE,2020-04-01,1,Specific,Cancellation of Doha's Hamad International Airport (DOH) extended,0,no policy,no policy,0,no policy,no policy
MS87,REU,PARTIAL,BORDER_CLOSURE,2020-03-20,1,All,no policy,0,no policy,no policy,0,no policy,no policy
11508,ROU,PARTIAL,BORDER_CLOSURE,2020-05-15,1,Specific,"Austria, Belgium, France, Germany, Iran, Italy, the Netherlands, Spain, Switzerland, Turkey, the UK and the USA",0,no policy,no policy,0,no policy,no policy
NL60,SDN,PARTIAL,BORDER_CLOSURE,2020-12-01,1,Specific,"Ethiopia, Turkey, Egypt and the United Arab Emirates flights permitted",1,All,no policy,1,All,no policy
NT23,SEN,PARTIAL,BORDER_CLOSURE,2020-05-28,1,All,no policy,0,no policy,no policy,0,no policy,no policy
