Country,Country_id,Policy_type,Policy_subtype,Policy_start_date,Air_ban,Air_ban_info,Land_ban,Land_ban_info,Sea_ban,Sea_ban_info,Citizen_ban,Citizen_ban_info,Travel_history_ban,Travel_history_ban_info,Refugee_ban,Refugee_ban_info,Visa_ban,Visa_ban_info,Citizen_exceptions,Citizen_exceptions_info,Country_exceptions,Country_exceptions_info,Work_exceptions
American Samoa,ASM,COMPLETE,CITIZEN_EXCEP,2020-12-01,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,citizens,0,no policy,0
Antarctica,ATA,NOPOLICYIMPLEMENTED,NONE,2001-01-01,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Antigua and Barbuda,ATG,COMPLETE,SPECIFIC_COUNTRY,2020-04-23,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,Dominican Republic,0
Australia,AUS,COMPLETE,SPECIFIC_COUNTRY,2020-10-16,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"Australian Citizens, permanent residents in Australia, immediate family of Australian citizens or permanent residents, New Zealand citizens residing in Australia",1,New Zealand (quarantine free travel if people who have have been in New Zealand for 14 days or more and not been in a designated hotspot (still requires visa for non New Zealand citizens)),0
Austria,AUT,PARTIAL,BORDER_CLOSURE,2020-03-19,0,no policy,1,"Hungary, Slovenia",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Azerbaijan,AZE,PARTIAL,BORDER_CLOSURE,2020-08-29,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Burundi,BDI,PARTIAL,BORDER_CLOSURE,2021-01-11,0,no policy,1,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Belgium,BEL,PARTIAL,BORDER_CLOSURE,2020-04-15,1,"All countries except Austria, Belgium, Bulgaria, Croatia, Republic of Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Iceland, Liechtenstein, Norway, UK, Switzerland",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Benin,BEN,PARTIAL,BORDER_CLOSURE,2020-04-17,0,no policy,1,Togo,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
"Bonaire, Sint Eustatius and Saba",BES,COMPLETE,WORK_EXCEP,2020-11-20,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, permanent residents",1,"Saba, Antiga, Anguilla, Montserrat, Saint Vincent, Saint Kits and Nevis",1
