location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Mexico,MEX,1/23/2021,618768,596296,22472,3960,22217,0.48,0.46,0.02,172
Mexico,MEX,1/24/2021,629626,604441,25185,10858,22498,0.49,0.47,0.02,174
Mexico,MEX,1/25/2021,645105,616390,28715,15479,21797,0.5,0.48,0.02,169
Mexico,MEX,1/26/2021,652319,621005,31314,7214,22028,0.51,0.48,0.02,171
Netherlands,NLD,1/6/2021,6000,6000,,,,0.04,0.04,,
Netherlands,NLD,1/7/2021,15000,15000,,9000,9000,0.09,0.09,,525
Netherlands,NLD,1/8/2021,27000,27000,,12000,10500,0.16,0.16,,613
Netherlands,NLD,1/9/2021,30000,30000,,3000,8000,0.18,0.18,,467
Netherlands,NLD,1/10/2021,34000,34000,,4000,7000,0.2,0.2,,409
Netherlands,NLD,1/11/2021,35500,35500,,1500,5900,0.21,0.21,,344
Netherlands,NLD,1/12/2021,45000,45000,,9500,6500,0.26,0.26,,379
Netherlands,NLD,1/13/2021,47000,47000,,2000,5857,0.27,0.27,,342
Netherlands,NLD,1/14/2021,,,,,5143,,,,300
Netherlands,NLD,1/15/2021,55000,55000,,,4000,0.32,0.32,,233
Netherlands,NLD,1/16/2021,,,,,5143,,,,300
Netherlands,NLD,1/17/2021,77000,77000,,,6143,0.45,0.45,,359
Netherlands,NLD,1/18/2021,,,,,7024,,,,410
Netherlands,NLD,1/19/2021,,,,,6762,,,,395
Netherlands,NLD,1/20/2021,100000,100000,,,7571,0.58,0.58,,442
Netherlands,NLD,1/21/2021,,,,,9500,,,,554
Netherlands,NLD,1/22/2021,135000,135000,,,11429,0.79,0.79,,667
Netherlands,NLD,1/23/2021,,,,,10687,,,,624
Netherlands,NLD,1/24/2021,146612,146612,,,9945,0.86,0.86,,580
Netherlands,NLD,1/25/2021,163931,163931,,17319,11323,0.96,0.96,,661
Netherlands,NLD,1/26/2021,173638,173638,,9707,11615,1.01,1.01,,678
Northern Cyprus,,1/14/2021,0,0,,,,0,0,,
Northern Cyprus,,1/15/2021,,,,,994,,,,2601
Northern Cyprus,,1/16/2021,,,,,994,,,,2601
Northern Cyprus,,1/17/2021,,,,,994,,,,2601
Northern Cyprus,,1/18/2021,,,,,994,,,,2601
Northern Cyprus,,1/19/2021,4968,4968,,,994,1.3,1.3,,2601
Northern Cyprus,,1/20/2021,,,,,1163,,,,3043
Northern Cyprus,,1/21/2021,,,,,1284,,,,3359
Northern Cyprus,,1/22/2021,11000,11000,,,1429,2.88,2.88,,3739
Northern Ireland,,12/13/2020,3623,3623,,,,0.19,0.19,,
Northern Ireland,,12/14/2020,,,,,1778,,,,939
Northern Ireland,,12/15/2020,,,,,1778,,,,939
Northern Ireland,,12/16/2020,,,,,1778,,,,939
Northern Ireland,,12/17/2020,,,,,1778,,,,939
Northern Ireland,,12/18/2020,,,,,1778,,,,939
Northern Ireland,,12/19/2020,,,,,1778,,,,939
Northern Ireland,,12/20/2020,16068,16068,,,1778,0.85,0.85,,939
Northern Ireland,,12/21/2020,,,,,1829,,,,966
Northern Ireland,,12/22/2020,,,,,1880,,,,993
Northern Ireland,,12/23/2020,,,,,1931,,,,1020
Northern Ireland,,12/24/2020,,,,,1982,,,,1047
Northern Ireland,,12/25/2020,,,,,2033,,,,1074
Northern Ireland,,12/26/2020,,,,,2084,,,,1101
Northern Ireland,,12/27/2020,31016,31016,,,2135,1.64,1.64,,1127
Northern Ireland,,12/28/2020,,,,,2054,,,,1085
Northern Ireland,,12/29/2020,,,,,1972,,,,1041
Northern Ireland,,12/30/2020,,,,,1890,,,,998
Northern Ireland,,12/31/2020,,,,,1808,,,,955
Northern Ireland,,1/1/2021,,,,,1726,,,,911
Northern Ireland,,1/2/2021,,,,,1645,,,,869
Northern Ireland,,1/3/2021,41956,40685,1271,,1563,2.22,2.15,0.07,825
Northern Ireland,,1/4/2021,,,,,2360,,,,1246
Northern Ireland,,1/5/2021,,,,,3157,,,,1667
Northern Ireland,,1/6/2021,,,,,3954,,,,2088
Northern Ireland,,1/7/2021,,,,,4751,,,,2509
Northern Ireland,,1/8/2021,,,,,5548,,,,2930
Northern Ireland,,1/9/2021,,,,,6345,,,,3351
Northern Ireland,,1/10/2021,91954,78005,13949,,7143,4.86,4.12,0.74,3772
Northern Ireland,,1/11/2021,99475,84187,15288,7521,7197,5.25,4.45,0.81,3801
Northern Ireland,,1/12/2021,109257,91417,17840,9782,7574,5.77,4.83,0.94,4000
Northern Ireland,,1/13/2021,121711,102701,19010,12454,8332,6.43,5.42,1,4400
Northern Ireland,,1/14/2021,133831,114567,19264,12120,9044,7.07,6.05,1.02,4776
Northern Ireland,,1/15/2021,137380,117906,19474,3549,8530,7.25,6.23,1.03,4504
Northern Ireland,,1/16/2021,140561,120387,20174,3181,7964,7.42,6.36,1.07,4206
Northern Ireland,,1/17/2021,146733,125717,21016,6172,7826,7.75,6.64,1.11,4133
Northern Ireland,,1/18/2021,154436,132857,21579,7703,7852,8.16,7.02,1.14,4146
Northern Ireland,,1/19/2021,160396,138436,21960,5960,7306,8.47,7.31,1.16,3858
Northern Ireland,,1/20/2021,166538,144212,22326,6142,6404,8.79,7.62,1.18,3382
Northern Ireland,,1/21/2021,173549,151039,22510,7011,5674,9.16,7.98,1.19,2996
Northern Ireland,,1/22/2021,177026,154366,22660,3477,5664,9.35,8.15,1.2,2991
Northern Ireland,,1/23/2021,178331,155644,22687,1305,5396,9.42,8.22,1.2,2849
Northern Ireland,,1/24/2021,182355,159642,22713,4024,5089,9.63,8.43,1.2,2687
Northern Ireland,,1/25/2021,186112,163317,22795,3757,4525,9.83,8.62,1.2,2390
Norway,NOR,12/27/2020,5,5,,,,0,0,,
Norway,NOR,12/28/2020,605,605,,600,600,0.01,0.01,,111
Norway,NOR,12/29/2020,1673,1673,,1068,834,0.03,0.03,,154
Norway,NOR,12/30/2020,2095,2095,,422,697,0.04,0.04,,129
Norway,NOR,12/31/2020,2167,2167,,72,540,0.04,0.04,,100
Norway,NOR,1/1/2021,2173,2173,,6,434,0.04,0.04,,80
Norway,NOR,1/2/2021,2173,2173,,0,361,0.04,0.04,,67
Norway,NOR,1/3/2021,2173,2173,,0,310,0.04,0.04,,57
Norway,NOR,1/4/2021,2174,2174,,1,224,0.04,0.04,,41
Norway,NOR,1/5/2021,5593,5593,,3419,560,0.1,0.1,,103
Norway,NOR,1/6/2021,14571,14571,,8978,1782,0.27,0.27,,329
Norway,NOR,1/7/2021,21107,21107,,6536,2706,0.39,0.39,,499
Norway,NOR,1/8/2021,22709,22709,,1602,2934,0.42,0.42,,541
Norway,NOR,1/9/2021,22840,22840,,131,2952,0.42,0.42,,545
Norway,NOR,1/10/2021,22946,22946,,106,2968,0.42,0.42,,547
Norway,NOR,1/11/2021,23287,23287,,341,3016,0.43,0.43,,556
Norway,NOR,1/12/2021,27424,27424,,4137,3119,0.51,0.51,,575
Norway,NOR,1/13/2021,37005,37005,,9581,3205,0.68,0.68,,591
Norway,NOR,1/14/2021,45281,45281,,8276,3453,0.84,0.84,,637
Norway,NOR,1/15/2021,49689,49689,,4408,3854,0.92,0.92,,711
Norway,NOR,1/16/2021,50400,50400,,711,3937,0.93,0.93,,726
Norway,NOR,1/17/2021,50715,50710,5,315,3967,0.94,0.94,0,732
Norway,NOR,1/18/2021,52215,51940,275,1500,4133,0.96,0.96,0.01,762
Norway,NOR,1/19/2021,57468,56426,1042,5253,4292,1.06,1.04,0.02,792
Norway,NOR,1/20/2021,67759,66031,1728,10291,4393,1.25,1.22,0.03,810
Norway,NOR,1/21/2021,75873,73977,1896,8114,4370,1.4,1.36,0.03,806
Norway,NOR,1/22/2021,79024,77121,1903,3151,4191,1.46,1.42,0.04,773
Norway,NOR,1/23/2021,79377,77474,1903,353,4140,1.46,1.43,0.04,764
Norway,NOR,1/24/2021,79436,77533,1903,59,4103,1.47,1.43,0.04,757
Norway,NOR,1/25/2021,80003,78100,1903,567,3970,1.48,1.44,0.04,732
Oman,OMN,12/28/2020,1717,1717,,,,0.03,0.03,,
Oman,OMN,12/29/2020,3363,3363,,1646,1646,0.07,0.07,,322
Oman,OMN,12/30/2020,5043,5043,,1680,1663,0.1,0.1,,326
Oman,OMN,12/31/2020,6516,6516,,1473,1600,0.13,0.13,,313
Oman,OMN,1/1/2021,,,,,1289,,,,252
Oman,OMN,1/2/2021,7231,7231,,,1103,0.14,0.14,,216
Oman,OMN,1/3/2021,8826,8826,,1595,1185,0.17,0.17,,232
Oman,OMN,1/4/2021,10728,10728,,1902,1287,0.21,0.21,,252
Oman,OMN,1/5/2021,12751,12751,,2023,1341,0.25,0.25,,263
Oman,OMN,1/6/2021,14005,14005,,1254,1280,0.27,0.27,,251
Oman,OMN,1/7/2021,14911,14911,,906,1199,0.29,0.29,,235
Oman,OMN,1/8/2021,14980,14980,,69,1158,0.29,0.29,,227
Oman,OMN,1/9/2021,15023,15023,,43,1113,0.29,0.29,,218
Oman,OMN,1/10/2021,15907,15907,,884,1012,0.31,0.31,,198
Oman,OMN,1/11/2021,18287,18287,,2380,1080,0.36,0.36,,211
Oman,OMN,1/12/2021,20649,20649,,2362,1128,0.4,0.4,,221
Oman,OMN,1/13/2021,22749,22749,,2100,1249,0.45,0.45,,245
Oman,OMN,1/14/2021,24204,24204,,1455,1328,0.47,0.47,,260
Oman,OMN,1/15/2021,,,,,1358,,,,266
Oman,OMN,1/16/2021,24773,24773,,,1393,0.49,0.49,,273
Oman,OMN,1/17/2021,25446,24773,673,673,1363,0.5,0.49,0.01,267
Oman,OMN,1/18/2021,26758,24773,1985,1312,1210,0.52,0.49,0.04,237
Oman,OMN,1/19/2021,28049,24773,3276,1291,1057,0.55,0.49,0.06,207
Oman,OMN,1/20/2021,29548,24773,4775,1499,971,0.58,0.49,0.09,190
Oman,OMN,1/21/2021,,,,,817,,,,160
Oman,OMN,1/22/2021,,,,,830,,,,163
Oman,OMN,1/23/2021,30675,24773,5902,,843,0.6,0.49,0.12,165
Oman,OMN,1/24/2021,32765,24773,7992,2090,1046,0.64,0.49,0.16,205
Oman,OMN,1/25/2021,34606,24773,9833,1841,1121,0.68,0.49,0.19,220
Oman,OMN,1/26/2021,36206,24773,11433,1600,1165,0.71,0.49,0.22,228
Panama,PAN,1/19/2021,0,0,,,,0,0,,
Panama,PAN,1/20/2021,6,6,,6,6,0,0,,1
Panama,PAN,1/21/2021,2728,2728,,2722,1364,0.06,0.06,,316
Panama,PAN,1/22/2021,5081,5081,,2353,1694,0.12,0.12,,393
Panama,PAN,1/23/2021,5594,5594,,513,1398,0.13,0.13,,324
Panama,PAN,1/24/2021,6420,6420,,826,1284,0.15,0.15,,298
Poland,POL,12/28/2020,2000,2000,,,,0.01,0.01,,
Poland,POL,12/29/2020,6300,6300,,4300,4300,0.02,0.02,,114
Poland,POL,12/30/2020,36300,36300,,30000,17150,0.1,0.1,,453
Poland,POL,12/31/2020,47600,47600,,11300,15200,0.13,0.13,,402
Poland,POL,1/1/2021,,,,,11749,,,,310
Poland,POL,1/2/2021,50391,50391,,,9678,0.13,0.13,,256
Poland,POL,1/3/2021,50833,50833,,442,8139,0.13,0.13,,215
Poland,POL,1/4/2021,92220,92220,,41387,12889,0.24,0.24,,341
Poland,POL,1/5/2021,140226,140226,,48006,19132,0.37,0.37,,506
Poland,POL,1/6/2021,160359,160359,,20133,17723,0.42,0.42,,468
Poland,POL,1/7/2021,188956,188956,,28597,20194,0.5,0.5,,534
Poland,POL,1/8/2021,198787,198787,,9831,21399,0.53,0.53,,565
Poland,POL,1/9/2021,200022,200022,,1235,21376,0.53,0.53,,565
Poland,POL,1/10/2021,203053,203053,,3031,21746,0.54,0.54,,575
Poland,POL,1/11/2021,257834,257834,,54781,23659,0.68,0.68,,625
Poland,POL,1/12/2021,309620,309620,,51786,24199,0.82,0.82,,639
Poland,POL,1/13/2021,369212,369212,,59592,29836,0.98,0.98,,788
Poland,POL,1/14/2021,410480,410480,,41268,31646,1.08,1.08,,836
Poland,POL,1/15/2021,436963,436963,,26483,34025,1.15,1.15,,899
Poland,POL,1/16/2021,457303,457303,,20340,36754,1.21,1.21,,971
Poland,POL,1/17/2021,469466,468795,671,12163,38059,1.24,1.24,0,1006
Poland,POL,1/18/2021,495164,491696,3468,25698,33904,1.31,1.3,0.01,896
Poland,POL,1/19/2021,541229,530055,11174,46065,33087,1.43,1.4,0.03,874
Poland,POL,1/20/2021,591785,566793,24992,50556,31796,1.56,1.5,0.07,840
Poland,POL,1/21/2021,644999,605313,39686,53214,33503,1.7,1.6,0.1,885
Poland,POL,1/22/2021,684277,638798,45479,39278,35331,1.81,1.69,0.12,934
Poland,POL,1/23/2021,701164,654184,46980,16887,34837,1.85,1.73,0.12,920
Poland,POL,1/24/2021,707474,659753,47721,6310,34001,1.87,1.74,0.13,898
Poland,POL,1/25/2021,776987,701222,75765,69513,40260,2.05,1.85,0.2,1064
Portugal,PRT,12/28/2020,4828,4828,,,,0.05,0.05,,
Portugal,PRT,12/29/2020,16701,16701,,11873,11873,0.16,0.16,,1164
Portugal,PRT,12/30/2020,26850,26850,,10149,11011,0.26,0.26,,1080
Portugal,PRT,12/31/2020,,,,,7770,,,,762
Portugal,PRT,1/1/2021,,,,,6149,,,,603
Portugal,PRT,1/2/2021,,,,,5177,,,,508
Portugal,PRT,1/3/2021,32000,32000,,,4529,0.31,0.31,,444
Portugal,PRT,1/4/2021,,,,,4360,,,,428
Portugal,PRT,1/5/2021,,,,,3141,,,,308
Portugal,PRT,1/6/2021,42035,42035,,,2169,0.41,0.41,,213
Portugal,PRT,1/7/2021,,,,,3983,,,,391
Portugal,PRT,1/8/2021,70000,70000,,,5796,0.69,0.69,,568
Portugal,PRT,1/9/2021,,,,,6347,,,,622
Portugal,PRT,1/10/2021,,,,,6898,,,,676
Portugal,PRT,1/11/2021,,,,,7155,,,,702
Portugal,PRT,1/12/2021,,,,,7412,,,,727
Portugal,PRT,1/13/2021,,,,,7668,,,,752
Portugal,PRT,1/14/2021,,,,,6406,,,,628
Portugal,PRT,1/15/2021,106000,106000,,,5143,1.04,1.04,,504
Portugal,PRT,1/16/2021,,,,,6571,,,,644
Portugal,PRT,1/17/2021,,,,,8000,,,,785
Portugal,PRT,1/18/2021,,,,,9429,,,,925
Portugal,PRT,1/19/2021,,,,,10857,,,,1065
Portugal,PRT,1/20/2021,,,,,12286,,,,1205
Portugal,PRT,1/21/2021,,,,,13714,,,,1345
Portugal,PRT,1/22/2021,212000,212000,,,15143,2.08,2.08,,1485
Portugal,PRT,1/23/2021,232725,232725,,20725,15940,2.28,2.28,,1563
Portugal,PRT,1/24/2021,,,,,15242,,,,1495
Portugal,PRT,1/25/2021,,,,,14545,,,,1426
Portugal,PRT,1/26/2021,263499,263499,,,13847,2.58,2.58,,1358
Romania,ROU,12/28/2020,2066,2066,,,,0.01,0.01,,
Romania,ROU,12/29/2020,2778,2778,,712,712,0.01,0.01,,37
Romania,ROU,12/30/2020,5666,5666,,2888,1800,0.03,0.03,,94
Romania,ROU,12/31/2020,10289,10289,,4623,2741,0.05,0.05,,142
Romania,ROU,1/1/2021,11656,11656,,1367,2398,0.06,0.06,,125
Romania,ROU,1/2/2021,13242,13242,,1586,2235,0.07,0.07,,116
Romania,ROU,1/3/2021,13596,13596,,354,1922,0.07,0.07,,100
Romania,ROU,1/4/2021,25508,25508,,11912,3349,0.13,0.13,,174
Romania,ROU,1/5/2021,41609,41609,,16101,5547,0.22,0.22,,288
Romania,ROU,1/6/2021,58554,58554,,16945,7555,0.3,0.3,,393
Romania,ROU,1/7/2021,76400,76400,,17846,9444,0.4,0.4,,491
Romania,ROU,1/8/2021,92706,92706,,16306,11579,0.48,0.48,,602
Romania,ROU,1/9/2021,102301,102301,,9595,12723,0.53,0.53,,661
Romania,ROU,1/10/2021,108294,108294,,5993,13528,0.56,0.56,,703
Romania,ROU,1/11/2021,125190,125190,,16896,14240,0.65,0.65,,740
Romania,ROU,1/12/2021,140447,140447,,15257,14120,0.73,0.73,,734
Romania,ROU,1/13/2021,154268,154268,,13821,13673,0.8,0.8,,711
Romania,ROU,1/14/2021,167612,167612,,13344,13030,0.87,0.87,,677
Romania,ROU,1/15/2021,183669,183669,,16057,12995,0.95,0.95,,675
Romania,ROU,1/16/2021,196090,196090,,12421,13398,1.02,1.02,,696
Romania,ROU,1/17/2021,205060,204185,875,8970,13824,1.07,1.06,0,719
Romania,ROU,1/18/2021,235239,233288,1951,30179,15721,1.22,1.21,0.01,817
Romania,ROU,1/19/2021,270046,267424,2622,34807,18514,1.4,1.39,0.01,962
Romania,ROU,1/20/2021,308384,302570,5814,38338,22017,1.6,1.57,0.03,1144
Romania,ROU,1/21/2021,348096,338252,9844,39712,25783,1.81,1.76,0.05,1340
Romania,ROU,1/22/2021,385936,374681,11255,37840,28895,2.01,1.95,0.06,1502
Romania,ROU,1/23/2021,418885,406006,12879,32949,31828,2.18,2.11,0.07,1654
Romania,ROU,1/24/2021,446285,433129,13156,27400,34461,2.32,2.25,0.07,1791
Romania,ROU,1/25/2021,484631,459567,25064,38346,35627,2.52,2.39,0.13,1852
Romania,ROU,1/26/2021,528378,487711,40667,43747,36905,2.75,2.54,0.21,1918
Russia,RUS,12/15/2020,28500,28500,,,,0.02,0.02,,
Russia,RUS,12/16/2020,,,,,3357,,,,23
Russia,RUS,12/17/2020,,,,,3357,,,,23
Russia,RUS,12/18/2020,,,,,3357,,,,23
Russia,RUS,12/19/2020,,,,,3357,,,,23
Russia,RUS,12/20/2020,,,,,3357,,,,23
Russia,RUS,12/21/2020,,,,,3357,,,,23
Russia,RUS,12/22/2020,52000,52000,,,3357,0.04,0.04,,23
Russia,RUS,12/23/2020,,,,,12592,,,,86
Russia,RUS,12/24/2020,,,,,21827,,,,150
Russia,RUS,12/25/2020,,,,,31061,,,,213
Russia,RUS,12/26/2020,,,,,40296,,,,276
Russia,RUS,12/27/2020,,,,,49531,,,,339
Russia,RUS,12/28/2020,,,,,58765,,,,403
Russia,RUS,12/29/2020,,,,,68000,,,,466
Russia,RUS,12/30/2020,,,,,68000,,,,466
Russia,RUS,12/31/2020,,,,,68000,,,,466
Russia,RUS,1/1/2021,,,,,68000,,,,466
Russia,RUS,1/2/2021,800000,800000,,,68000,0.55,0.55,,466
Russia,RUS,1/3/2021,,,,,60883,,,,417
Russia,RUS,1/4/2021,,,,,53766,,,,368
Russia,RUS,1/5/2021,,,,,46649,,,,320
Russia,RUS,1/6/2021,,,,,39532,,,,271
Russia,RUS,1/7/2021,,,,,32416,,,,222
Russia,RUS,1/8/2021,,,,,25299,,,,173
Russia,RUS,1/9/2021,,,,,18182,,,,125
Russia,RUS,1/10/2021,,,,,18182,,,,125
Russia,RUS,1/11/2021,,,,,18182,,,,125
Russia,RUS,1/12/2021,,,,,18182,,,,125
Russia,RUS,1/13/2021,1000000,1000000,,,18182,0.69,0.69,,125
Saudi Arabia,SAU,1/6/2021,100000,100000,,,,0.29,0.29,,
Saudi Arabia,SAU,1/7/2021,137862,137862,,37862,37862,0.4,0.4,,1088
Saudi Arabia,SAU,1/8/2021,,,,,23990,,,,689
Saudi Arabia,SAU,1/9/2021,,,,,19366,,,,556
Saudi Arabia,SAU,1/10/2021,,,,,17055,,,,490
Saudi Arabia,SAU,1/11/2021,178337,178337,,,15667,0.51,0.51,,450
Saudi Arabia,SAU,1/12/2021,,,,,16312,,,,469
Saudi Arabia,SAU,1/13/2021,,,,,16772,,,,482
Saudi Arabia,SAU,1/14/2021,,,,,14153,,,,407
Saudi Arabia,SAU,1/15/2021,,,,,15498,,,,445
Saudi Arabia,SAU,1/16/2021,,,,,16843,,,,484
Saudi Arabia,SAU,1/17/2021,295530,295530,,,18187,0.85,0.85,,522
Scotland,,12/13/2020,18858,18858,,,,0.35,0.35,,
Scotland,,12/14/2020,,,,,5821,,,,1065
Scotland,,12/15/2020,,,,,5821,,,,1065
Scotland,,12/16/2020,,,,,5821,,,,1065
Scotland,,12/17/2020,,,,,5821,,,,1065
Scotland,,12/18/2020,,,,,5821,,,,1065
Scotland,,12/19/2020,,,,,5821,,,,1065
Scotland,,12/20/2020,59608,59608,,,5821,1.09,1.09,,1065
Scotland,,12/21/2020,,,,,5690,,,,1041
Scotland,,12/22/2020,,,,,5558,,,,1017
Scotland,,12/23/2020,,,,,5426,,,,993
Scotland,,12/24/2020,,,,,5295,,,,969
Scotland,,12/25/2020,,,,,5163,,,,945
Scotland,,12/26/2020,,,,,5031,,,,921
Scotland,,12/27/2020,93904,93904,,,4899,1.72,1.72,,897
Scotland,,12/28/2020,,,,,4635,,,,848
Scotland,,12/29/2020,,,,,4370,,,,800
Scotland,,12/30/2020,,,,,4105,,,,751
Scotland,,12/31/2020,,,,,3841,,,,703
Scotland,,1/1/2021,,,,,3576,,,,655
Scotland,,1/2/2021,,,,,3312,,,,606
Scotland,,1/3/2021,115232,115194,38,,3047,2.11,2.11,0,558
Scotland,,1/4/2021,,,,,3650,,,,668
Scotland,,1/5/2021,,,,,4254,,,,779
Scotland,,1/6/2021,,,,,4858,,,,889
Scotland,,1/7/2021,,,,,5461,,,,1000
Scotland,,1/8/2021,,,,,6065,,,,1110
Scotland,,1/9/2021,,,,,6668,,,,1221
Scotland,,1/10/2021,166135,163377,2758,,7272,3.04,2.99,0.05,1331
Scotland,,1/11/2021,178799,175942,2857,12664,8042,3.27,3.22,0.05,1472
Scotland,,1/12/2021,194955,191965,2990,16156,9311,3.57,3.51,0.05,1704
Scotland,,1/13/2021,211397,208207,3190,16442,10621,3.87,3.81,0.06,1944
Scotland,,1/14/2021,228171,224840,3331,16774,11979,4.18,4.12,0.06,2193
Scotland,,1/15/2021,,,,,12869,,,,2356
Scotland,,1/16/2021,,,,,13760,,,,2519
Scotland,,1/17/2021,268689,264991,3698,,14651,4.92,4.85,0.07,2682
Scotland,,1/18/2021,288468,284582,3886,19779,15667,5.28,5.21,0.07,2868
Scotland,,1/19/2021,314079,309909,4170,25611,17018,5.75,5.67,0.08,3115
Scotland,,1/20/2021,339337,334871,4466,25258,18277,6.21,6.13,0.08,3345
Scotland,,1/21/2021,363143,358454,4689,23806,19282,6.65,6.56,0.09,3529
Scotland,,1/22/2021,385855,380667,5188,22712,20597,7.06,6.97,0.09,3770
Scotland,,1/23/2021,409421,404038,5383,23566,22034,7.49,7.4,0.1,4033
Scotland,,1/24/2021,420940,415402,5538,11519,21750,7.7,7.6,0.1,3981
Scotland,,1/25/2021,443960,437900,6060,23020,22213,8.13,8.02,0.11,4066
Serbia,SRB,1/8/2021,7000,7000,,,,0.1,0.1,,
Serbia,SRB,1/9/2021,,,,,1150,,,,169
Serbia,SRB,1/10/2021,9300,9300,,,1150,0.14,0.14,,169
Serbia,SRB,1/11/2021,,,,,1503,,,,221
Serbia,SRB,1/12/2021,,,,,1680,,,,247
Serbia,SRB,1/13/2021,,,,,1785,,,,262
Serbia,SRB,1/14/2021,18136,18136,,,1856,0.27,0.27,,273
Serbia,SRB,1/15/2021,,,,,2221,,,,326
Serbia,SRB,1/16/2021,,,,,2687,,,,395
Serbia,SRB,1/17/2021,,,,,3153,,,,463
Serbia,SRB,1/18/2021,,,,,3468,,,,510
Serbia,SRB,1/19/2021,,,,,3783,,,,556
Serbia,SRB,1/20/2021,44611,44611,,,4098,0.66,0.66,,602
Serbia,SRB,1/21/2021,84832,84832,,40221,9528,1.25,1.25,,1400
Serbia,SRB,1/22/2021,119711,119711,,34879,13880,1.76,1.76,,2040
Serbia,SRB,1/23/2021,163355,163355,,43644,19485,2.4,2.4,,2864
Serbia,SRB,1/24/2021,217800,217800,,54445,26632,3.2,3.2,,3914
Serbia,SRB,1/25/2021,256521,256521,,38721,31534,3.77,3.77,,4634
Serbia,SRB,1/26/2021,310266,310266,,53745,38581,4.56,4.56,,5670
Seychelles,SYC,1/9/2021,0,0,,,,0,0,,
Seychelles,SYC,1/10/2021,,,,,500,,,,5084
Seychelles,SYC,1/11/2021,,,,,500,,,,5084
Seychelles,SYC,1/12/2021,,,,,500,,,,5084
Seychelles,SYC,1/13/2021,2000,2000,,,500,2.03,2.03,,5084
Seychelles,SYC,1/14/2021,,,,,600,,,,6101
Seychelles,SYC,1/15/2021,4000,4000,,,667,4.07,4.07,,6783
Seychelles,SYC,1/16/2021,7000,7000,,3000,1000,7.12,7.12,,10169
Seychelles,SYC,1/17/2021,,,,,1118,,,,11369
Seychelles,SYC,1/18/2021,,,,,1236,,,,12569
Seychelles,SYC,1/19/2021,10976,10976,,,1354,11.16,11.16,,13769
Seychelles,SYC,1/20/2021,13163,13163,,2187,1595,13.39,13.39,,16219
Seychelles,SYC,1/21/2021,,,,,1718,,,,17470
Seychelles,SYC,1/22/2021,16890,16890,,,1841,17.18,17.18,,18721
Seychelles,SYC,1/23/2021,18353,18353,,1463,1622,18.66,18.66,,16494
Seychelles,SYC,1/24/2021,,,,,1542,,,,15680
Seychelles,SYC,1/25/2021,19889,19889,,,1463,20.22,20.22,,14877
Singapore,SGP,1/11/2021,3400,3400,,,,0.06,0.06,,
Singapore,SGP,1/12/2021,6200,6200,,2800,2800,0.11,0.11,,479
Singapore,SGP,1/13/2021,,,,,4090,,,,699
Singapore,SGP,1/14/2021,,,,,4520,,,,773
Singapore,SGP,1/15/2021,,,,,4735,,,,809
Singapore,SGP,1/16/2021,,,,,4864,,,,831
Singapore,SGP,1/17/2021,,,,,4950,,,,846
Singapore,SGP,1/18/2021,,,,,5011,,,,857
Singapore,SGP,1/19/2021,,,,,5380,,,,920
Singapore,SGP,1/20/2021,,,,,5380,,,,920
Singapore,SGP,1/21/2021,,,,,5380,,,,920
Singapore,SGP,1/22/2021,60000,60000,,,5380,1.03,1.03,,920
Slovakia,SVK,1/4/2021,0,0,,,,0,0,,
Slovakia,SVK,1/5/2021,425,425,,425,425,0.01,0.01,,78
Slovakia,SVK,1/6/2021,6618,6618,,6193,3309,0.12,0.12,,606
Slovakia,SVK,1/7/2021,13631,13631,,7013,4544,0.25,0.25,,832
Slovakia,SVK,1/8/2021,20548,20548,,6917,5137,0.38,0.38,,941
Slovakia,SVK,1/9/2021,22281,22281,,1733,4456,0.41,0.41,,816
Slovakia,SVK,1/10/2021,25326,25326,,3045,4221,0.46,0.46,,773
Slovakia,SVK,1/11/2021,29221,29221,,3895,4174,0.54,0.54,,765
Slovakia,SVK,1/12/2021,39735,39735,,10514,5616,0.73,0.73,,1029
Slovakia,SVK,1/13/2021,46243,46243,,6508,5661,0.85,0.85,,1037
Slovakia,SVK,1/14/2021,53830,53830,,7587,5743,0.99,0.99,,1052
Slovakia,SVK,1/15/2021,61381,61381,,7551,5833,1.12,1.12,,1068
Slovakia,SVK,1/16/2021,62589,62589,,1208,5758,1.15,1.15,,1055
Slovakia,SVK,1/17/2021,62643,62643,,54,5331,1.15,1.15,,976
Slovakia,SVK,1/18/2021,71626,71044,582,8983,6058,1.31,1.3,0.01,1110
Slovakia,SVK,1/19/2021,78672,77633,1039,7046,5562,1.44,1.42,0.02,1019
Slovakia,SVK,1/20/2021,85966,84066,1900,7294,5675,1.57,1.54,0.03,1039
Slovakia,SVK,1/21/2021,90293,87749,2544,4327,5209,1.65,1.61,0.05,954
Slovakia,SVK,1/22/2021,96430,93761,2669,6137,5007,1.77,1.72,0.05,917
Slovakia,SVK,1/23/2021,96706,94037,2669,276,4874,1.77,1.72,0.05,893
Slovakia,SVK,1/24/2021,96706,94037,2669,0,4866,1.77,1.72,0.05,891
Slovakia,SVK,1/25/2021,102692,97869,4823,5986,4438,1.88,1.79,0.09,813
Slovenia,SVN,1/3/2021,5934,5934,,,,0.29,0.29,,
